# Wordlist

# DATA
ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS	AUTOCOGID
79	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kɔ́mbɔ̀	kɔ́mbɔ̀	k ɔ ⁵ m b ɔ ¹	domestic animal (esp. livestock)	15	k ɔ ⁵ m b ɔ ¹	kɔ́mbɔ̀	0	1 7 8 4 1 7 8	66	AXTMBYT	15.K.C 15.U.V 15.6.T 15.M.c 15.P.C 15.U.V 15.6.T	animal domestique (surtout bétail)	619	Bunoge	KU6MPU6	ANIMAL		44
80	1.6 3.0 1.0 1.3 3.0 1.0	bɛ̀lú	bɛ̀lú	( - - - - - - - ) b ɛ ¹ l u ⁵ ( - - - )	domestic animal (esp. livestock)	17	b ɛ ¹ l u ⁵	bɛ̀lú	0	1 7 8 5 7 8	71	AXTBYT	17.P.C 17.E.V 17.6.T 17.L.C 17.Y.V 17.6.T	animal domestique (surtout bétail)	619	Donno_So	PE6LY6	ANIMAL		46
81	1.6 3.0 1.0 0.5	bèl	bèl	( - - - - - - - ) b e ¹ l - - ( - - - )	domestic animal (esp. livestock)	31	b e ¹ l	bèl	0	1 7 8 5	71	AXTN	31.P.C 31.E.V 31.6.T 31.L.c	animal domestique (surtout bétail)	619	Tiranige_Diga	PE6L	ANIMAL		46
82	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	dèbù_bɛ́lí	dèbù bɛ́lí, bɛ́lí	( d e ¹ b u ¹ _ ) b ɛ ⁵ l i ⁵ ( - - - )	domestic animal (esp. livestock)	22	d e ¹ b u ¹ _ b ɛ ⁵ l i ⁵	dèbù_bɛ́lí	0	1 7 8 1 7 8 9 1 7 8 5 7 8	71	AXTBYT_AXTBYT	22.T.C 22.E.V 22.6.T 22.P.C 22.Y.V 22.6.T 22._._ 22.P.C 22.E.V 22.6.T 22.L.C 22.I.V 22.6.T	animal domestique (surtout bétail)	619	Mombo	TE6PY6_PE6LI6	ANIMAL		52
83	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àsɛ̀gɛ́	àsɛ̀gɛ́	- a ¹ - - - s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	20	a ¹ s ɛ ¹ ɡ ɛ ⁵	àsɛ̀gɛ́	0	7 8 3 7 8 1 7 8	304	XTBYTBYT	20.A.V 20.6.T 20.S.C 20.E.V 20.6.T 20.K.C 20.E.V 20.6.T	animal domestique (surtout bétail)	619	Jamsay	A6SE6KE6	ANIMAL		49
84	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	àsɛ̀gɛ́	àsɛ̀gɛ́	- a ¹ - - - s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	30	a ¹ s ɛ ¹ ɡ ɛ ⁵	àsɛ̀gɛ́	0	7 8 3 7 8 1 7 8	304	XTBYTBYT	30.A.V 30.6.T 30.S.C 30.E.V 30.6.T 30.K.C 30.E.V 30.6.T	animal domestique (surtout bétail)	619	Tebul_Ure	A6SE6KE6	ANIMAL		49
9132	1.6 3.0 1.0 1.1 0.5 0.0 3.0 1.0	dá:bb-à	dá:bb-à	d aː ⁵ b b ( + ) a ¹ - -	animal	27	d aː ⁵ b b + a ¹	dá:bb-à	0	1 7 8 1 1 9 7 8	61	AXTLN_XT	27.T.C 27.A.V 27.6.T 27.P.c 27.P.c 27._._ 27.A.V 27.6.T		619	Songhai_Kiini	TA6PP_A6	ANIMAL	FUL/AR	57
9133	1.6 3.0 1.0 1.1 0.5 0.0 3.0 1.0	dá:bb-à:	dá:bb-à:	d aː ⁵ b b ( + ) a ¹ - -	animal	28	d aː ⁵ b b + aː ¹	dá:bb-à:	0	1 7 8 1 1 9 7 8	61	AXTLN_XT	28.T.C 28.A.V 28.6.T 28.P.c 28.P.c 28._._ 28.A.V 28.6.T		619	Songhai_Senni	TA6PP_A6	ANIMAL	FUL/AR	57
9134	1.6 3.0 1.0 1.3 3.0 1.0	dáábā	dáábā	d aː ⁵ b - ( - ) a ³ - -	animal	21	d aː ⁵ b a ³	dáábā	0	1 7 8 1 7 8	61	AXTBYT	21.T.C 21.A.V 21.6.T 21.P.C 21.A.V 21.6.T		619	Jenaama	TA6PA6	ANIMAL		48
9135	1.6 3.0 1.0 1.3 3.0 1.0	dá:bá	dá:bá	d aː ⁵ b - ( - ) a ⁵ - -	animal	25	d aː ⁵ b a ⁵	dá:bá	0	1 7 8 1 7 8	61	AXTBYT	25.T.C 25.A.V 25.6.T 25.P.C 25.A.V 25.6.T		619	Penange	TA6PA6	ANIMAL	FUL/AR	48
9136	2.0 1.5 1.3 1.75 0.8	daaba	daaba	d a: - b - ( - ) a - - -	animal	18	d a a b a	daaba	0	1 7 7 1 7	61	AXYBZ	18.T.C 18.A.V 18.A.V 18.P.C 18.A.V		619	Fulfulde	TAAPA	ANIMAL		48
9137	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	dántán	dántán	d a ⁵ n + t a ⁵ n	animal	2	d a ⁵ n t a ⁵ n	dántán	0	1 7 8 4 1 7 8 4	8470	AXTMBYTN	2.T.C 2.A.V 2.6.T 2.N.c 2.T.C 2.A.V 2.6.T 2.N.c		619	Bambara	TA6NTA6N	ANIMAL		39
9559	1.6 3.0 1.0 1.3 3.0 1.0	dá:bà	dá:bà / -á:	d aː ⁵ b - ( - ) a ¹ - -	[n] livestock animal	27	d aː ⁵ b a ¹	dá:bà	0	1 7 8 1 7 8	61	AXTBYT	27.T.C 27.A.V 27.6.T 27.P.C 27.A.V 27.6.T	bête	619	Songhai_Kiini	TA6PA6	ANIMAL		48
#
85	1.6 3.0 1.0 0.0 1.6 3.0 1.0	jòò-rò	jòò-rò	j oː ¹ + r o ¹	reply	3	dʒ oː ¹ + r o ¹	jòò-rò	0	1 7 8 9 5 7 8	79	AXT_AXT	3.T.C 3.U.V 3.6.T 3._._ 3.R.C 3.U.V 3.6.T	répondre	1275	Bangime	TU6_RU6	ANSWER		63
86	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	lámìnɛ́	lámìnɛ́	l a ⁵ m i ¹ n ɛ ⁵	reply	2	l a ⁵ m i ¹ n ɛ ⁵	lámìnɛ́	0	5 7 8 4 7 8 4 7 8	78	AXTBYTBYT	2.L.C 2.A.V 2.6.T 2.M.C 2.I.V 2.6.T 2.N.C 2.E.V 2.6.T	répondre (à un salut, un appel...)	1275	Bambara	LA6MI6NE6	ANSWER		62
87	1.6 3.0 1.0 1.3 3.0 1.0	císú	císú	tʃ i ⁵ s u ⁵ ( - - - )	answer, reply to (sb)	35	tʃ i ⁵ s u ⁵	císú	0	1 7 8 3 7 8	92	AXTBYT	35.T.C 35.I.V 35.6.T 35.S.C 35.Y.V 35.6.T	répondre à (qn)	1275	Toro_Tegu	TI6SY6	ANSWER		81
88	1.6 3.0 1.0	sá	sá, mǒ: sá	( - - - - ) s a ⁵ - - -	answer, reply to (sb)	5	s a ⁵	sá	0	3 7 8	10	AXT	5.S.C 5.A.V 5.6.T	répondre à (qn)	1275	Ben_Tey	SA6	ANSWER		79
89	1.6 3.0 1.0 1.3 3.0 1.0	kísɛ́	kísɛ́	k i ⁵ s ɛ ⁵ ( - - - )	answer, reply to (sb)	4	k i ⁵ s ɛ ⁵	kísɛ́	0	1 7 8 3 7 8	92	AXTBYT	4.K.C 4.I.V 4.6.T 4.S.C 4.E.V 4.6.T	répondre à (qn)	1275	Bankan_Tey	KI6SE6	ANSWER		64
90	1.6 3.0 1.0	sá:	sá:, nɔ̌: sá:	( - - - - ) s aː ⁵ - - -	answer, reply to (sb)	24	s aː ⁵	sá:	0	3 7 8	10	AXT	24.S.C 24.A.V 24.6.T	répondre à (qn)	1275	Nanga	SA6	ANSWER		79
91	1.6 3.0 1.0	sá:	sá:	( - - - - ) s aː ⁵ - - -	answer, reply to (sb)	26	s aː ⁵	sá:	0	3 7 8	10	AXT	26.S.C 26.A.V 26.6.T	répondre à (qn)	1275	Perge_Tegu	SA6	ANSWER		79
92	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ká:_sá:	ká: sá:, sá:	( k aː ⁵ _ ) s aː ⁵ - - -	answer, reply to (sb)	19	k aː ⁵ _ s aː ⁵	ká:_sá:	0	1 7 8 9 3 7 8	10	AXT_AXT	19.K.C 19.A.V 19.6.T 19._._ 19.S.C 19.A.V 19.6.T	répondre à (qn)	1275	Gourou	KA6_SA6	ANSWER		68
93	1.6 3.0 1.0	sá:	sá:-	( - - - - ) s aː ⁵ - - -	answer, reply to (sb)	37	s aː ⁵	sá:	0	3 7 8	10	AXT	37.S.C 37.A.V 37.6.T	répondre à (qn)	1275	Yorno_So	SA6	ANSWER		79
94	1.6 3.0 1.0 1.3 3.0 1.0	sáwá	sáwá, yàbí-lɛ́	( - - - - ) s a ⁵ w a ⁵	answer, reply to (sb)	33	s a ⁵ w a ⁵	sáwá	0	3 7 8 6 7 8	10	AXTBYT	33.S.C 33.A.V 33.6.T 33.W.C 33.A.V 33.6.T	répondre à (qn)	1275	Tommo_So	SA6WA6	ANSWER		79
95	1.6 3.0 1.0 1.3 3.0 1.0	kísɛ̀	kísɛ̀, kígìl-mè	k i ⁵ s ɛ ¹ ( - - - )	answer, reply to (sb)	16	k i ⁵ s ɛ ¹	kísɛ̀	0	1 7 8 3 7 8	92	AXTBYT	16.K.C 16.I.V 16.6.T 16.S.C 16.E.V 16.6.T	répondre à (qn)	1275	Dogul_Dom	KI6SE6	ANSWER		64
96	1.6 3.0 1.0 0.5	sá:m	sá:m (sá:m-tì-), sá (sá-tì-)	( - - - - ) s aː ⁵ m - -	answer, reply to (sb)	30	s aː ⁵ m	sá:m	0	3 7 8 4	10	AXTN	30.S.C 30.A.V 30.6.T 30.M.c	répondre à (qn)	1275	Tebul_Ure	SA6M	ANSWER		79
97	1.6 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	sá:	m̀bò sá:, sá:	( - - - - ) s aː ⁵ - - -	answer, reply to (sb)	36	m ¹ b o ¹ _ s aː ⁵	m̀bò_sá:	0	4 8 1 7 8 9 3 7 8	10	ATBYT_AXT	36.M.C 36.6.T 36.P.C 36.U.V 36.6.T 36._._ 36.S.C 36.A.V 36.6.T	répondre à (qn)	1275	Yanda_Dom	M6PU6_SA6	ANSWER		82
98	1.6 3.0 1.0 1.3 3.0 1.0	kíjɛ̀	kíjɛ̀	k i ⁵ dʒ ɛ ¹ ( - - - )	answer, reply to (sb)	15	k i ⁵ dʒ ɛ ¹	kíjɛ̀	0	1 7 8 1 7 8	92	AXTBYT	15.K.C 15.I.V 15.6.T 15.T.C 15.E.V 15.6.T	répondre à (qn)	1275	Bunoge	KI6TE6	ANSWER		64
99	1.6 3.0 1.0	sá:	sá:, ká: sá:	( - - - - ) s aː ⁵ - - -	answer, reply to (sb)	20	s aː ⁵	sá:	0	3 7 8	10	AXT	20.S.C 20.A.V 20.6.T	répondre à (qn)	1275	Jamsay	SA6	ANSWER		79
100	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	cígírɔ́	cígírɔ́	tʃ i ⁵ ɡ i ⁵ ( r ɔ ⁵ )	answer, reply to (sb)	31	tʃ i ⁵ ɡ i ⁵ r ɔ ⁵	cígírɔ́	0	1 7 8 1 7 8 5 7 8	92	AXTBYTBYT	31.T.C 31.I.V 31.6.T 31.K.C 31.I.V 31.6.T 31.R.C 31.U.V 31.6.T	répondre à (qn)	1275	Tiranige_Diga	TI6KI6RU6	ANSWER		77
101	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ábú-lè	ábúlè, kízɛ́	a ⁵ b u ⁵ + l e ¹	answer, reply to (sb)	22	a ⁵ b u ⁵ l e ¹	ábúlè	0	7 8 1 7 8 5 7 8	86	XTBYTBYT	22.A.V 22.6.T 22.P.C 22.Y.V 22.6.T 22.L.C 22.E.V 22.6.T	répondre à (qn)	1275	Mombo	A6PY6LE6	ANSWER		70
102	1.6 3.0 1.0 1.3 3.0 1.0	kíjɛ́	kíjɛ́, jámbé	k i ⁵ dʒ ɛ ⁵ ( - - - )	answer, reply to (sb)	25	k i ⁵ dʒ ɛ ⁵	kíjɛ́	0	1 7 8 1 7 8	92	AXTBYT	25.K.C 25.I.V 25.6.T 25.T.C 25.E.V 25.6.T	répondre à (qn)	1275	Penange	KI6TE6	ANSWER		64
103	1.6 3.0 1.0 1.3 3.0 1.0	sáwá	sáwá	( - - - - ) s a ⁵ w a ⁵	answer, reply to (sb)	34	s a ⁵ w a ⁵	sáwá	0	3 7 8 6 7 8	10	AXTBYT	34.S.C 34.A.V 34.6.T 34.W.C 34.A.V 34.6.T	répondre à (qn)	1275	Tomo_Kan	SA6WA6	ANSWER		79
104	1.6 3.0 1.0 1.3 3.0 1.0	ɲímí	ɲímí	ɲ i ⁵ m i ⁵	reply	29	ɲ i ⁵ m i ⁵	ɲímí	0	4 7 8 4 7 8	90	AXTBYT	29.N.C 29.I.V 29.6.T 29.M.C 29.I.V 29.6.T	répondre à l’appel de	1275	Soninke	NI6MI6	ANSWER		75
105	1.6 3.0 1.0	sá:	sá:	( - - - - ) s aː ⁵ - - -	answer, reply to (sb)	32	s aː ⁵	sá:	0	3 7 8	10	AXT	32.S.C 32.A.V 32.6.T	répondre à (qn)	1275	Togo_Kan	SA6	ANSWER		79
9715	1.6 3.0 1.0	tù:	tù:	t uː ¹ ( - ) - - - - - -		27	t uː ¹	tù:	0	1 7 8	11	AXT	27.T.C 27.Y.V 27.6.T	répondre	1275	Songhai_Kiini	TY6	ANSWER		74
#
106	2.0 1.5 1.1 1.75 0.8	nawki	nawki	n a w k i	armpit	18	n a w k i	nawki	0	4 7 6 1 7	104	AXMBZ	18.N.C 18.A.V 18.W.c 18.K.C 18.I.V	aisselle	1886	Fulfulde	NAWKI	ARMPIT		89
107	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	kabaatiⁿmɔ	kabaatiⁿmɔ	k a b a: + t ĩ ( - ) + m ɔ ( - )	armpit	7	k a b a a t ĩ m ɔ	kabaatiⁿmɔ	0	1 7 1 7 7 1 7 4 7	8471	AXBYYBYBZ	7.K.C 7.A.V 7.P.C 7.A.V 7.A.V 7.T.C 7.I.V 7.M.C 7.U.V	aisselle	1886	Bozo_Hainyaxo	KAPAATIMU	ARMPIT		86
108	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kōmpàà	kōmpàà	k o ³ m + p aː ¹	armpit (where baby is picked up)	3	k o ³ m p aː ¹	kōmpàà	0	1 7 8 4 1 7 8	98	AXTMBYT	3.K.C 3.U.V 3.6.T 3.M.c 3.P.C 3.A.V 3.6.T	aisselle (où on prend un bébé)	1886	Bangime	KU6MPA6	ARMPIT		83
109	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kɛ̄lɛ̄mù	kɛ̄lɛ̄mù	k ɛ !³ - - l ɛ ( ³ ) + m u ( ¹ )	armpit (where baby is picked up)	21	k ɛ ³ l ɛ ³ m u ¹	kɛ̄lɛ̄mù	0	1 7 8 5 7 8 4 7 8	8471	AXTBYTBYT	21.K.C 21.E.V 21.6.T 21.L.C 21.E.V 21.6.T 21.M.C 21.Y.V 21.6.T	aisselle (où on prend un bébé)	1886	Jenaama	KE6LE6MY6	ARMPIT	Ben-Tey	92
110	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kà-kàrá	kà-kàrá	k a ¹ - - - + k a ¹ - r a ⁵ ( - - - - - - - )	armpit (where baby is picked up)	30	k a ¹ + k a ¹ r a ⁵	kà-kàrá	0	1 7 8 9 1 7 8 5 7 8	109	AXT_AXTBYT	30.K.C 30.A.V 30.6.T 30._._ 30.K.C 30.A.V 30.6.T 30.R.C 30.A.V 30.6.T	aisselle (où on prend un bébé)	1886	Tebul_Ure	KA6_KA6RA6	ARMPIT		87
111	3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.3 3.0 1.0	ìr-kílá	ìrkílá	- i ¹ r - - + k i ⁵ - l a ⁵ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	35	i ¹ r + k i ⁵ l a ⁵	ìr-kílá	0	7 8 5 9 1 7 8 5 7 8	109	XTN_AXTBYT	35.I.V 35.6.T 35.R.c 35._._ 35.K.C 35.I.V 35.6.T 35.L.C 35.A.V 35.6.T	aisselle (où on prend un enfant)	1886	Toro_Tegu	I6R_KI6LA6	ARMPIT		84
112	3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.3 3.0 1.0	àr-kɛ́lɛ̀	àrkɛ́lɛ̀	- a ¹ r - - + k ɛ ⁵ - l ɛ ¹ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	5	a ¹ r + k ɛ ⁵ l ɛ ¹	àr-kɛ́lɛ̀	0	7 8 5 9 1 7 8 5 7 8	109	XTN_AXTBYT	5.A.V 5.6.T 5.R.c 5._._ 5.K.C 5.E.V 5.6.T 5.L.C 5.E.V 5.6.T	aisselle (où on prend un enfant)	1886	Ben_Tey	A6R_KE6LE6	ARMPIT		84
113	3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	ár-kɛ́ndɛ̀	árkɛ́ndɛ̀	- a ⁵ r - - + k ɛ ⁵ n d ɛ ¹ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	4	a ⁵ r + k ɛ ⁵ n d ɛ ¹	ár-kɛ́ndɛ̀	0	7 8 5 9 1 7 8 4 1 7 8	109	XTN_AXTMBYT	4.A.V 4.6.T 4.R.c 4._._ 4.K.C 4.E.V 4.6.T 4.N.c 4.T.C 4.E.V 4.6.T	aisselle (où on prend un enfant)	1886	Bankan_Tey	A6R_KE6NTE6	ARMPIT		84
114	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	ɛ̀rɛ̀-kɛ̀ndɛ̂	ɛ̀rɛ̀-kɛ̀ndɛ̂, ɛ̀rɛ̀-gɛ̀ndɛ̂	- ɛ ¹ r ɛ ¹ + k ɛ ¹ n d ɛ ¹⁵ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	24	ɛ ¹ r ɛ ¹ + k ɛ ¹ n d ɛ ¹⁵	ɛ̀rɛ̀-kɛ̀ndɛ̂	0	7 8 5 7 8 9 1 7 8 4 1 7 8	109	XTBYT_AXTMBYT	24.E.V 24.6.T 24.R.C 24.E.V 24.6.T 24._._ 24.K.C 24.E.V 24.6.T 24.N.c 24.T.C 24.E.V 24.2.T	aisselle (où on prend un enfant)	1886	Nanga	E6RE6_KE6NTE2	ARMPIT		95
115	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kà-kàrá	kà-kàrá	k a ¹ - - - + k a ¹ - r a ⁵ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	26	k a ¹ + k a ¹ r a ⁵	kà-kàrá	0	1 7 8 9 1 7 8 5 7 8	109	AXT_AXTBYT	26.K.C 26.A.V 26.6.T 26._._ 26.K.C 26.A.V 26.6.T 26.R.C 26.A.V 26.6.T	aisselle (où on prend un enfant)	1886	Perge_Tegu	KA6_KA6RA6	ARMPIT		87
116	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kì-kàrá	kìkàrá	k i ¹ - - - + k a ¹ - r a ⁵ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	19	k i ¹ + k a ¹ r a ⁵	kì-kàrá	0	1 7 8 9 1 7 8 5 7 8	109	AXT_AXTBYT	19.K.C 19.I.V 19.6.T 19._._ 19.K.C 19.A.V 19.6.T 19.R.C 19.A.V 19.6.T	aisselle (où on prend un enfant)	1886	Gourou	KI6_KA6RA6	ARMPIT		87
117	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kà-kàrá	kàkàrá	k a ¹ - - - + k a ¹ - r a ⁵ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	32	k a ¹ + k a ¹ r a ⁵	kà-kàrá	0	1 7 8 9 1 7 8 5 7 8	109	AXT_AXTBYT	32.K.C 32.A.V 32.6.T 32._._ 32.K.C 32.A.V 32.6.T 32.R.C 32.A.V 32.6.T	aisselle (où on prend un enfant)	1886	Togo_Kan	KA6_KA6RA6	ARMPIT		87
118	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kí-kárú	kí-kárú	k i ⁵ - - - + k a ⁵ - r u ⁵ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	37	k i ⁵ + k a ⁵ r u ⁵	kí-kárú	0	1 7 8 9 1 7 8 5 7 8	109	AXT_AXTBYT	37.K.C 37.I.V 37.6.T 37._._ 37.K.C 37.A.V 37.6.T 37.R.C 37.Y.V 37.6.T	aisselle (où on prend un enfant)	1886	Yorno_So	KI6_KA6RY6	ARMPIT		87
119	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	ká-kárú	ká-kárú	k a ⁵ - - - + k a ⁵ - r u ⁵ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	33	k a ⁵ + k a ⁵ r u ⁵	ká-kárú	0	1 7 8 9 1 7 8 5 7 8	109	AXT_AXTBYT	33.K.C 33.A.V 33.6.T 33._._ 33.K.C 33.A.V 33.6.T 33.R.C 33.Y.V 33.6.T	aisselle (où on prend un enfant)	1886	Tommo_So	KA6_KA6RY6	ARMPIT		87
120	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kárà-kàrà	kárà-kàrà	k a ⁵ r a ¹ + k a ¹ - r a ¹ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	16	k a ⁵ r a ¹ + k a ¹ r a ¹	kárà-kàrà	0	1 7 8 5 7 8 9 1 7 8 5 7 8	109	AXTBYT_AXTBYT	16.K.C 16.A.V 16.6.T 16.R.C 16.A.V 16.6.T 16._._ 16.K.C 16.A.V 16.6.T 16.R.C 16.A.V 16.6.T	aisselle (où on prend un enfant)	1886	Dogul_Dom	KA6RA6_KA6RA6	ARMPIT		87
121	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kà-gádà	kàgádà ~ kà-kádà	k a ¹ - - - + ɡ a ⁵ - d a ¹ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	36	k a ¹ + ɡ a ⁵ d a ¹	kà-gádà	0	1 7 8 9 1 7 8 1 7 8	109	AXT_AXTBYT	36.K.C 36.A.V 36.6.T 36._._ 36.K.C 36.A.V 36.6.T 36.T.C 36.A.V 36.6.T	aisselle (où on prend un enfant)	1886	Yanda_Dom	KA6_KA6TA6	ARMPIT		87
122	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5	kàkàrâ:-kùl	kàkàrâ: kùl	k a ¹ - - - + k a ¹ - r aː ⁵¹ ( + k u ¹ l - - )	armpit, underarm (where infant is grabbed)	23	k a ¹ k a ¹ r aː ⁵¹ + k u ¹ l	kàkàrâ:-kùl	0	1 7 8 1 7 8 5 7 8 9 1 7 8 5	109	AXTBYTBYT_AXTN	23.K.C 23.A.V 23.6.T 23.K.C 23.A.V 23.6.T 23.R.C 23.A.V 23.3.T 23._._ 23.K.C 23.Y.V 23.6.T 23.L.c	aisselle (où on prend un enfant)	1886	Najamba	KA6KA6RA3_KY6L	ARMPIT		94
123	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kárù-kàrù	nùmɔ̀-[kárù-kàrù]	k a ⁵ r u ¹ + k a ¹ - r u ¹ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	17	k a ⁵ r u ¹ + k a ¹ r u ¹	kárù-kàrù	0	1 7 8 5 7 8 9 1 7 8 5 7 8	109	AXTBYT_AXTBYT	17.K.C 17.A.V 17.6.T 17.R.C 17.Y.V 17.6.T 17._._ 17.K.C 17.A.V 17.6.T 17.R.C 17.Y.V 17.6.T	aisselle (où on prend un enfant)	1886	Donno_So	KA6RY6_KA6RY6	ARMPIT		87
124	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kì-kàrá	kì-kàrá	k i ¹ - - - + k a ¹ - r a ⁵ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	20	k i ¹ + k a ¹ r a ⁵	kì-kàrá	0	1 7 8 9 1 7 8 5 7 8	109	AXT_AXTBYT	20.K.C 20.I.V 20.6.T 20._._ 20.K.C 20.A.V 20.6.T 20.R.C 20.A.V 20.6.T	aisselle (où on prend un enfant)	1886	Jamsay	KI6_KA6RA6	ARMPIT		87
125	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kì-kàrà	kì-kàrà	k i ¹ - - - + k a ¹ - r a ¹ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	34	k i ¹ + k a ¹ r a ¹	kì-kàrà	0	1 7 8 9 1 7 8 5 7 8	109	AXT_AXTBYT	34.K.C 34.I.V 34.6.T 34._._ 34.K.C 34.A.V 34.6.T 34.R.C 34.A.V 34.6.T	aisselle (où on prend un enfant)	1886	Tomo_Kan	KI6_KA6RA6	ARMPIT		87
126	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kàrà-kàrà	kàrà-kàrà	k a ¹ r a ¹ + k a ¹ - r a ¹ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	31	k a ¹ r a ¹ + k a ¹ r a ¹	kàrà-kàrà	0	1 7 8 5 7 8 9 1 7 8 5 7 8	109	AXTBYT_AXTBYT	31.K.C 31.A.V 31.6.T 31.R.C 31.A.V 31.6.T 31._._ 31.K.C 31.A.V 31.6.T 31.R.C 31.A.V 31.6.T	aisselle (où on prend un enfant)	1886	Tiranige_Diga	KA6RA6_KA6RA6	ARMPIT		87
127	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kárá-kárá_súgù	kárá-kárá súgù, kárákárá	k a ⁵ r a ⁵ + k a ⁵ - r a ⁵ ( _ s u ⁵ ɡ u ¹ )	armpit, underarm (where infant is grabbed)	22	k a ⁵ r a ⁵ + k a ⁵ r a ⁵ _ s u ⁵ ɡ u ¹	kárá-kárá_súgù	0	1 7 8 5 7 8 9 1 7 8 5 7 8 9 3 7 8 1 7 8	109	AXTBYT_AXTBYT_AXTBYT	22.K.C 22.A.V 22.6.T 22.R.C 22.A.V 22.6.T 22._._ 22.K.C 22.A.V 22.6.T 22.R.C 22.A.V 22.6.T 22._._ 22.S.C 22.Y.V 22.6.T 22.K.C 22.Y.V 22.6.T	aisselle (où on prend un enfant)	1886	Mombo	KA6RA6_KA6RA6_SY6KY6	ARMPIT		87
128	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	kàrà-kàrà	kàrà-kàrà, kàrà-kàrà súgù	k a ¹ r a ¹ + k a ¹ - r a ¹ ( - - - - - - - )	armpit, underarm (where infant is grabbed)	25	k a ¹ r a ¹ + k a ¹ r a ¹	kàrà-kàrà	0	1 7 8 5 7 8 9 1 7 8 5 7 8	109	AXTBYT_AXTBYT	25.K.C 25.A.V 25.6.T 25.R.C 25.A.V 25.6.T 25._._ 25.K.C 25.A.V 25.6.T 25.R.C 25.A.V 25.6.T	aisselle (où on prend un enfant)	1886	Penange	KA6RA6_KA6RA6	ARMPIT		87
